Date,Winning Numbers
6/30/2024,6  12
6/30/2024,10  6
6/30/2024,5  36
6/29/2024,8  1
6/29/2024,9  35
6/29/2024,18  31
6/29/2024,17  35
6/29/2024,26  35
6/28/2024,33  14
6/28/2024,1  32
6/28/2024,2  30
6/28/2024,24  22
6/28/2024,36  15
6/27/2024,16  35
6/27/2024,3  20
6/27/2024,15  22
6/27/2024,14  27
6/27/2024,32  10
6/26/2024,1  8
6/26/2024,34  1
6/26/2024,8  13
6/26/2024,1  11
6/26/2024,10  15
6/25/2024,6  22
6/25/2024,2  5
6/25/2024,27  32
6/25/2024,11  23
6/25/2024,31  28
6/24/2024,1  22
6/24/2024,25  6
6/24/2024,3  16
6/24/2024,5  31
6/24/2024,8  8
6/23/2024,5  32
6/23/2024,27  10
6/23/2024,30  5
6/23/2024,25  16
6/23/2024,4  5
6/22/2024,31  10
6/22/2024,34  26
6/22/2024,36  4
6/22/2024,30  6
6/22/2024,11  16
6/21/2024,18  21
6/21/2024,6  23
6/21/2024,23  28
6/21/2024,6  7
6/21/2024,4  1
6/20/2024,29  6
6/20/2024,23  19
6/20/2024,31  20
6/20/2024,1  19
6/20/2024,18  22
6/19/2024,19  13
6/19/2024,6  24
6/19/2024,22  13
6/19/2024,9  31
6/19/2024,35  26
6/18/2024,30  29
6/18/2024,13  29
6/18/2024,19  9
6/18/2024,14  17
6/18/2024,26  35
6/17/2024,11  12
6/17/2024,2  30
6/17/2024,35  25
6/17/2024,19  25
6/17/2024,15  7
6/16/2024,16  22
6/16/2024,8  11
6/16/2024,36  15
6/16/2024,26  35
6/16/2024,4  1
6/15/2024,19  29
6/15/2024,4  28
6/15/2024,21  12
6/15/2024,34  8
6/15/2024,19  1
6/14/2024,2  31
6/14/2024,7  21
6/14/2024,15  35
6/14/2024,29  2
6/14/2024,17  33
6/13/2024,25  34
6/13/2024,23  26
6/13/2024,1  23
6/13/2024,8  29
6/13/2024,31  9
6/12/2024,7  18
6/12/2024,36  36
6/12/2024,14  18
6/12/2024,3  17
6/12/2024,7  8
6/11/2024,33  17
6/11/2024,34  33
6/11/2024,34  6
6/11/2024,35  27
6/11/2024,8  13
6/10/2024,34  16
6/10/2024,10  5
6/10/2024,26  7
6/10/2024,16  4
6/10/2024,30  32
6/9/2024,36  14
6/9/2024,24  20
6/9/2024,20  22
6/9/2024,7  17
6/9/2024,34  24
6/8/2024,7  1
6/8/2024,20  18
6/8/2024,18  28
6/8/2024,30  26
6/8/2024,17  22
6/7/2024,25  32
6/7/2024,34  8
6/7/2024,13  29
6/7/2024,18  18
6/7/2024,2  30
6/6/2024,12  14
6/6/2024,1  26
6/6/2024,17  18
6/6/2024,20  29
6/6/2024,12  31
6/5/2024,14  24
6/5/2024,16  4
6/5/2024,19  17
6/5/2024,36  2
6/5/2024,5  18
6/4/2024,10  15
6/4/2024,16  26
6/4/2024,11  35
6/4/2024,6  12
6/4/2024,14  36
6/3/2024,22  23
6/3/2024,4  18
6/3/2024,13  34
6/3/2024,14  9
6/3/2024,10  33
6/2/2024,10  11
6/2/2024,25  16
6/2/2024,7  1
6/2/2024,2  31
6/2/2024,26  8
6/1/2024,6  2
6/1/2024,2  26
6/1/2024,36  29
6/1/2024,36  30
6/1/2024,7  30
5/31/2024,6  32
5/31/2024,35  28
5/31/2024,12  27
5/31/2024,34  10
5/31/2024,6  10
5/30/2024,18  32
5/30/2024,20  31
5/30/2024,29  1
5/30/2024,34  2
5/30/2024,31  33
5/29/2024,33  32
5/29/2024,1  15
5/29/2024,14  29
5/29/2024,6  35
5/29/2024,21  13
5/28/2024,25  21
5/28/2024,8  28
5/28/2024,10  21
5/28/2024,4  14
5/28/2024,23  9
5/27/2024,30  18
5/27/2024,24  33
5/27/2024,24  11
5/27/2024,7  17
5/27/2024,22  1
5/26/2024,8  28
5/26/2024,27  24
5/26/2024,19  19
5/26/2024,7  17
5/26/2024,36  13
5/25/2024,31  2
5/25/2024,22  4
5/25/2024,32  27
5/25/2024,3  5
5/25/2024,11  19
5/24/2024,27  14
5/24/2024,35  17
5/24/2024,11  11
5/24/2024,8  36
5/24/2024,5  10
5/23/2024,26  28
5/23/2024,3  10
5/23/2024,1  2
5/23/2024,26  35
5/23/2024,33  36
5/22/2024,2  14
5/22/2024,12  26
5/22/2024,27  30
5/22/2024,20  35
5/22/2024,26  16
5/21/2024,9  25
5/21/2024,21  22
5/21/2024,8  22
5/21/2024,27  17
5/21/2024,4  23
5/20/2024,24  13
5/20/2024,18  11
5/20/2024,29  16
5/20/2024,12  20
5/20/2024,11  13
5/19/2024,35  17
5/19/2024,25  29
5/19/2024,8  16
5/19/2024,11  34
5/19/2024,10  14
5/18/2024,13  20
5/18/2024,6  15
5/18/2024,27  26
5/18/2024,9  15
5/18/2024,2  31
5/17/2024,28  29
5/17/2024,15  15
5/17/2024,34  27
5/17/2024,33  12
5/17/2024,14  7
5/16/2024,18  26
5/16/2024,6  19
5/16/2024,35  13
5/16/2024,28  11
5/16/2024,2  15
5/15/2024,13  36
5/15/2024,31  33
5/15/2024,5  13
5/15/2024,1  6
5/15/2024,32  2
5/14/2024,9  14
5/14/2024,2  14
5/14/2024,25  1
5/14/2024,11  36
5/14/2024,1  6
5/13/2024,2  7
5/13/2024,14  1
5/13/2024,35  32
5/13/2024,11  8
5/13/2024,16  10
5/12/2024,30  28
5/12/2024,11  4
5/12/2024,2  23
5/12/2024,2  31
5/12/2024,22  27
5/11/2024,8  17
5/11/2024,28  16
5/11/2024,28  13
5/11/2024,16  2
5/11/2024,5  23
5/10/2024,4  20
5/10/2024,10  31
5/10/2024,24  28
5/10/2024,30  4
5/10/2024,26  32
5/9/2024,24  7
5/9/2024,9  27
5/9/2024,5  15
5/9/2024,32  15
5/9/2024,35  27
5/8/2024,21  35
5/8/2024,2  26
5/8/2024,24  18
5/8/2024,6  24
5/8/2024,7  22
5/7/2024,3  26
5/7/2024,14  27
5/7/2024,8  25
5/7/2024,10  9
5/7/2024,8  25
5/6/2024,6  2
5/6/2024,24  9
5/6/2024,20  36
5/6/2024,15  7
5/6/2024,22  21
5/5/2024,20  8
5/5/2024,27  7
5/5/2024,25  25
5/5/2024,22  31
5/5/2024,19  15
5/4/2024,20  25
5/4/2024,24  31
5/4/2024,17  22
5/4/2024,6  35
5/4/2024,22  24
5/3/2024,2  2
5/3/2024,32  19
5/3/2024,32  33
5/3/2024,5  16
5/3/2024,11  20
5/2/2024,4  33
5/2/2024,13  22
5/2/2024,18  11
5/2/2024,6  35
5/2/2024,12  23
5/1/2024,8  23
5/1/2024,11  25
5/1/2024,15  31
5/1/2024,17  5
5/1/2024,15  2
4/30/2024,11  35
4/30/2024,20  15
4/30/2024,21  19
4/30/2024,31  7
4/30/2024,36  14
4/29/2024,14  25
4/29/2024,2  3
4/29/2024,35  33
4/29/2024,6  1
4/29/2024,23  13
4/28/2024,26  3
4/28/2024,18  20
4/28/2024,20  26
4/28/2024,35  19
4/28/2024,5  19
4/27/2024,5  2
4/27/2024,14  27
4/27/2024,31  20
4/27/2024,24  19
4/27/2024,4  29
4/26/2024,25  3
4/26/2024,5  7
4/26/2024,36  8
4/26/2024,23  24
4/26/2024,7  16
4/25/2024,27  33
4/25/2024,5  28
4/25/2024,25  18
4/25/2024,9  4
4/25/2024,34  19
4/24/2024,17  1
4/24/2024,33  21
4/24/2024,31  30
4/24/2024,36  17
4/24/2024,17  15
4/23/2024,3  10
4/23/2024,4  20
4/23/2024,5  35
4/23/2024,5  29
4/23/2024,26  29
4/22/2024,33  36
4/22/2024,5  27
4/22/2024,27  15
4/22/2024,23  12
4/22/2024,33  10
4/21/2024,5  15
4/21/2024,5  29
4/21/2024,17  15
4/21/2024,5  34
4/21/2024,1  6
4/20/2024,17  32
4/20/2024,25  9
4/20/2024,4  12
4/20/2024,1  13
4/20/2024,17  10
4/19/2024,34  21
4/19/2024,22  2
4/19/2024,17  1
4/19/2024,33  27
4/19/2024,8  33
4/18/2024,30  2
4/18/2024,13  24
4/18/2024,18  21
4/18/2024,29  19
4/18/2024,27  8
4/17/2024,19  3
4/17/2024,27  34
4/17/2024,4  15
4/17/2024,10  26
4/17/2024,16  24
4/16/2024,6  33
4/16/2024,29  29
4/16/2024,16  14
4/16/2024,1  18
4/16/2024,27  32
4/15/2024,18  4
4/15/2024,12  14
4/15/2024,16  30
4/15/2024,11  33
4/15/2024,24  20
4/14/2024,29  29
4/14/2024,16  15
4/14/2024,22  34
4/14/2024,2  25
4/14/2024,11  16
4/13/2024,4  1
4/13/2024,18  6
4/13/2024,13  22
4/13/2024,7  28
4/13/2024,28  5
4/12/2024,29  20
4/12/2024,4  15
4/12/2024,16  36
4/12/2024,16  14
4/12/2024,12  18
4/11/2024,5  29
4/11/2024,36  11
4/11/2024,4  6
4/11/2024,36  26
4/11/2024,26  1
4/10/2024,4  27
4/10/2024,33  16
4/10/2024,10  30
4/10/2024,17  6
4/10/2024,25  28
4/9/2024,6  15
4/9/2024,8  11
4/9/2024,10  30
4/9/2024,10  13
4/9/2024,20  3
4/8/2024,28  28
4/8/2024,15  31
4/8/2024,27  27
4/8/2024,24  1
4/8/2024,20  10
4/7/2024,28  5
4/7/2024,10  29
4/7/2024,3  27
4/7/2024,9  34
4/7/2024,24  19
4/6/2024,31  4
4/6/2024,4  11
4/6/2024,18  18
4/6/2024,21  25
4/6/2024,33  1
4/5/2024,26  28
4/5/2024,1  12
4/5/2024,33  25
4/5/2024,18  8
4/5/2024,5  13
4/4/2024,6  8
4/4/2024,13  16
4/4/2024,1  11
4/4/2024,19  4
4/4/2024,13  7
4/3/2024,13  1
4/3/2024,29  5
4/3/2024,21  2
4/3/2024,36  2
4/3/2024,21  35
4/2/2024,17  2
4/2/2024,22  26
4/2/2024,16  24
4/2/2024,35  29
4/2/2024,33  10
4/1/2024,1  33
4/1/2024,29  13
4/1/2024,11  19
4/1/2024,32  11
4/1/2024,24  31
3/31/2024,17  4
3/31/2024,18  13
3/31/2024,20  19
3/31/2024,29  18
3/31/2024,13  22
3/30/2024,8  8
3/30/2024,12  4
3/30/2024,31  33
3/30/2024,1  18
3/30/2024,25  22
3/28/2024,36  3
3/28/2024,23  20
3/28/2024,7  3
3/28/2024,21  14
3/28/2024,36  4
3/27/2024,2  8
3/27/2024,35  5
3/27/2024,22  16
3/27/2024,20  25
3/27/2024,6  27
3/26/2024,18  23
3/26/2024,3  26
3/26/2024,32  6
3/26/2024,18  6
3/26/2024,11  32
3/25/2024,8  24
3/25/2024,19  6
3/25/2024,6  33
3/25/2024,35  33
3/25/2024,32  23
3/24/2024,22  24
3/24/2024,15  27
3/24/2024,34  23
3/24/2024,23  23
3/24/2024,12  1
3/23/2024,4  1
3/23/2024,6  22
3/23/2024,20  10
3/23/2024,36  28
3/23/2024,11  7
3/22/2024,34  31
3/22/2024,6  34
3/22/2024,23  16
3/22/2024,1  19
3/22/2024,21  21
3/21/2024,6  14
3/21/2024,27  21
3/21/2024,15  15
3/21/2024,6  24
3/21/2024,35  22
3/20/2024,5  24
3/20/2024,16  19
3/20/2024,35  5
3/20/2024,36  11
3/20/2024,20  26
3/19/2024,13  21
3/19/2024,30  31
3/19/2024,29  36
3/19/2024,19  27
3/19/2024,34  14
3/18/2024,19  20
3/18/2024,20  2
3/18/2024,7  31
3/18/2024,33  11
3/18/2024,30  11
3/17/2024,3  6
3/17/2024,3  28
3/17/2024,16  34
3/17/2024,20  11
3/17/2024,14  11
3/16/2024,31  9
3/16/2024,5  10
3/16/2024,29  30
3/16/2024,5  18
3/16/2024,24  11
3/15/2024,32  12
3/15/2024,30  13
3/15/2024,7  15
3/15/2024,9  32
3/15/2024,8  8
3/14/2024,1  2
3/14/2024,31  1
3/14/2024,31  13
3/14/2024,36  15
3/14/2024,26  30
3/13/2024,15  7
3/13/2024,2  10
3/13/2024,26  5
3/13/2024,17  21
3/13/2024,9  8
3/12/2024,19  16
3/12/2024,25  26
3/12/2024,24  30
3/12/2024,1  5
3/12/2024,1  12
3/11/2024,12  25
3/11/2024,26  26
3/11/2024,31  20
3/11/2024,20  8
3/11/2024,27  34
3/10/2024,29  11
3/10/2024,26  22
3/10/2024,26  30
3/10/2024,14  21
3/10/2024,22  30
3/9/2024,12  15
3/9/2024,17  3
3/9/2024,20  16
3/9/2024,2  20
3/9/2024,23  32
3/8/2024,18  21
3/8/2024,20  19
3/8/2024,27  8
3/8/2024,7  11
3/8/2024,10  36
3/7/2024,20  14
3/7/2024,8  27
3/7/2024,20  28
3/7/2024,6  23
3/7/2024,31  8
3/6/2024,3  19
3/6/2024,20  32
3/6/2024,30  25
3/6/2024,18  10
3/6/2024,17  6
3/5/2024,4  20
3/5/2024,33  19
3/5/2024,17  21
3/5/2024,17  35
3/5/2024,13  12
3/4/2024,33  15
3/4/2024,23  5
3/4/2024,8  13
3/4/2024,9  34
3/4/2024,30  14
3/3/2024,28  33
3/3/2024,22  6
3/3/2024,33  26
3/3/2024,25  8
3/3/2024,26  6
3/2/2024,31  10
3/2/2024,13  13
3/2/2024,33  18
3/2/2024,7  12
3/2/2024,7  15
3/1/2024,29  5
3/1/2024,21  23
3/1/2024,19  28
3/1/2024,10  24
3/1/2024,35  29
2/29/2024,23  26
2/29/2024,34  4
2/29/2024,16  36
2/29/2024,23  34
2/29/2024,16  11
2/28/2024,36  18
2/28/2024,9  13
2/28/2024,5  30
2/28/2024,16  23
2/28/2024,4  16
2/27/2024,22  6
2/27/2024,22  29
2/27/2024,2  3
2/27/2024,23  7
2/27/2024,12  26
2/26/2024,9  36
2/26/2024,16  15
2/26/2024,17  5
2/26/2024,1  3
2/26/2024,3  17
2/25/2024,17  27
2/25/2024,8  35
2/25/2024,18  10
2/25/2024,22  36
2/25/2024,25  8
2/24/2024,16  10
2/24/2024,10  14
2/24/2024,6  24
2/24/2024,9  5
2/24/2024,10  4
2/23/2024,30  6
2/23/2024,16  7
2/23/2024,15  33
2/23/2024,18  35
2/23/2024,5  5
2/22/2024,19  24
2/22/2024,22  22
2/22/2024,31  8
2/22/2024,30  17
2/22/2024,17  25
2/21/2024,28  35
2/21/2024,11  9
2/21/2024,25  12
2/21/2024,9  20
2/21/2024,1  7
2/20/2024,7  20
2/20/2024,27  22
2/20/2024,26  26
2/20/2024,14  10
2/20/2024,15  6
2/19/2024,12  19
2/19/2024,18  18
2/19/2024,12  28
2/19/2024,18  13
2/19/2024,26  20
2/18/2024,5  23
2/18/2024,15  28
2/18/2024,16  15
2/18/2024,24  14
2/18/2024,33  14
2/17/2024,12  31
2/17/2024,25  22
2/17/2024,4  26
2/17/2024,12  19
2/17/2024,13  29
2/16/2024,25  28
2/16/2024,19  15
2/16/2024,27  11
2/16/2024,6  27
2/16/2024,14  14
2/15/2024,2  6
2/15/2024,31  36
2/15/2024,29  29
2/15/2024,2  12
2/15/2024,19  9
2/14/2024,2  26
2/14/2024,26  10
2/14/2024,22  34
2/14/2024,24  24
2/14/2024,3  26
2/13/2024,2  2
2/13/2024,28  1
2/13/2024,34  19
2/13/2024,17  20
2/13/2024,35  27
2/12/2024,33  3
2/12/2024,9  3
2/12/2024,25  26
2/12/2024,17  33
2/12/2024,28  32
2/11/2024,21  19
2/11/2024,19  22
2/11/2024,4  31
2/11/2024,26  19
2/11/2024,21  18
2/10/2024,29  24
2/10/2024,12  27
2/10/2024,29  34
2/10/2024,26  1
2/10/2024,7  9
2/9/2024,6  9
2/9/2024,36  23
2/9/2024,6  36
2/9/2024,23  21
2/9/2024,6  21
2/8/2024,25  6
2/8/2024,22  31
2/8/2024,16  34
2/8/2024,34  9
2/8/2024,27  17
2/7/2024,6  36
2/7/2024,27  23
2/7/2024,25  1
2/7/2024,32  12
2/7/2024,23  13
2/6/2024,34  36
2/6/2024,35  23
2/6/2024,36  12
2/6/2024,12  24
2/6/2024,29  36
2/5/2024,13  17
2/5/2024,9  21
2/5/2024,22  11
2/5/2024,12  11
2/5/2024,23  18
2/4/2024,15  23
2/4/2024,20  25
2/4/2024,31  3
2/4/2024,4  25
2/4/2024,5  29
2/3/2024,36  21
2/3/2024,6  11
2/3/2024,18  36
2/3/2024,17  36
2/3/2024,21  17
2/2/2024,11  12
2/2/2024,13  20
2/2/2024,22  14
2/2/2024,19  1
2/2/2024,31  6
2/1/2024,3  10
2/1/2024,26  12
2/1/2024,25  36
2/1/2024,5  7
2/1/2024,20  9
1/31/2024,34  17
1/31/2024,16  10
1/31/2024,35  10
1/31/2024,6  23
1/31/2024,29  26
1/30/2024,17  7
1/30/2024,1  29
1/30/2024,26  23
1/30/2024,8  17
1/30/2024,21  27
1/29/2024,35  21
1/29/2024,22  19
1/29/2024,3  32
1/29/2024,23  33
1/29/2024,6  34
1/28/2024,6  15
1/28/2024,28  21
1/28/2024,33  24
1/28/2024,3  30
1/28/2024,16  36
1/27/2024,34  6
1/27/2024,15  22
1/27/2024,6  12
1/27/2024,31  24
1/27/2024,20  24
1/26/2024,21  16
1/26/2024,34  31
1/26/2024,12  10
1/26/2024,28  15
1/26/2024,11  31
1/25/2024,28  16
1/25/2024,7  27
1/25/2024,21  8
1/25/2024,23  16
1/25/2024,29  17
1/24/2024,32  30
1/24/2024,34  5
1/24/2024,30  23
1/24/2024,19  18
1/24/2024,30  2
1/23/2024,4  28
1/23/2024,31  17
1/23/2024,13  30
1/23/2024,27  32
1/23/2024,2  30
1/22/2024,15  21
1/22/2024,19  34
1/22/2024,23  22
1/22/2024,26  36
1/22/2024,35  36
1/21/2024,18  29
1/21/2024,16  29
1/21/2024,31  19
1/21/2024,29  21
1/21/2024,1  34
1/20/2024,25  31
1/20/2024,7  17
1/20/2024,3  28
1/20/2024,10  21
1/20/2024,27  18
1/19/2024,7  7
1/19/2024,25  24
1/19/2024,29  22
1/19/2024,31  3
1/19/2024,5  1
1/18/2024,14  9
1/18/2024,8  5
1/18/2024,23  1
1/18/2024,11  33
1/18/2024,17  19
1/17/2024,11  1
1/17/2024,4  18
1/17/2024,20  2
1/17/2024,16  25
1/17/2024,3  34
1/16/2024,12  8
1/16/2024,21  8
1/16/2024,32  24
1/16/2024,30  30
1/16/2024,6  29
1/15/2024,10  11
1/15/2024,17  15
1/15/2024,35  12
1/15/2024,3  3
1/15/2024,16  11
1/14/2024,2  2
1/14/2024,11  22
1/14/2024,8  25
1/14/2024,27  8
1/14/2024,11  23
1/13/2024,23  14
1/13/2024,5  9
1/13/2024,31  13
1/13/2024,36  35
1/13/2024,8  2
1/12/2024,25  27
1/12/2024,36  27
1/12/2024,7  22
1/12/2024,8  28
1/12/2024,21  21
1/11/2024,20  30
1/11/2024,18  19
1/11/2024,12  2
1/11/2024,36  30
1/11/2024,27  4
1/10/2024,18  17
1/10/2024,14  21
1/10/2024,13  20
1/10/2024,34  19
1/10/2024,27  11
1/9/2024,20  36
1/9/2024,10  8
1/9/2024,16  35
1/9/2024,15  19
1/9/2024,24  17
1/8/2024,22  2
1/8/2024,26  16
1/8/2024,21  26
1/8/2024,4  23
1/8/2024,24  29
1/7/2024,26  1
1/7/2024,31  2
1/7/2024,26  24
1/7/2024,11  7
1/7/2024,16  20
1/6/2024,26  30
1/6/2024,15  5
1/6/2024,10  10
1/6/2024,34  16
1/6/2024,2  27
1/5/2024,5  13
1/5/2024,27  1
1/5/2024,23  30
1/5/2024,27  2
1/5/2024,24  26
1/4/2024,6  23
1/4/2024,2  36
1/4/2024,31  23
1/4/2024,29  14
1/4/2024,7  33
1/3/2024,10  35
1/3/2024,20  26
1/3/2024,2  15
1/3/2024,3  17
1/3/2024,29  17
1/2/2024,31  27
1/2/2024,19  17
1/2/2024,10  5
1/2/2024,8  32
1/2/2024,33  31
1/1/2024,31  19
1/1/2024,32  8
1/1/2024,14  3
1/1/2024,6  9
1/1/2024,1  4
12/31/2023,8  32
12/31/2023,11  9
12/31/2023,31  12
12/31/2023,19  34
12/31/2023,19  23
12/30/2023,25  26
12/30/2023,23  18
12/30/2023,9  36
12/30/2023,22  30
12/30/2023,4  29
12/29/2023,6  31
12/29/2023,36  11
12/29/2023,33  15
12/29/2023,26  33
12/29/2023,9  22
12/28/2023,5  22
12/28/2023,18  31
12/28/2023,2  18
12/28/2023,11  33
12/28/2023,25  14
12/27/2023,7  11
12/27/2023,36  33
12/27/2023,2  28
12/27/2023,12  14
12/27/2023,28  19
12/26/2023,30  24
12/26/2023,17  20
12/26/2023,4  25
12/26/2023,27  28
12/26/2023,15  5
12/24/2023,7  23
12/24/2023,27  5
12/24/2023,31  24
12/24/2023,36  26
12/24/2023,19  22
12/23/2023,34  3
12/23/2023,2  28
12/23/2023,34  32
12/23/2023,35  34
12/23/2023,7  32
12/22/2023,34  11
12/22/2023,12  26
12/22/2023,36  19
12/22/2023,10  3
12/22/2023,4  32
12/21/2023,29  20
12/21/2023,4  16
12/21/2023,14  15
12/21/2023,25  30
12/21/2023,11  2
12/20/2023,29  34
12/20/2023,22  10
12/20/2023,34  10
12/20/2023,16  23
12/20/2023,7  9
12/19/2023,6  14
12/19/2023,20  23
12/19/2023,23  17
12/19/2023,22  12
12/19/2023,36  5
12/18/2023,14  13
12/18/2023,2  26
12/18/2023,12  12
12/18/2023,12  12
12/18/2023,24  16
12/17/2023,3  33
12/17/2023,11  23
12/17/2023,25  15
12/17/2023,6  16
12/17/2023,24  11
12/16/2023,23  17
12/16/2023,26  2
12/16/2023,30  32
12/16/2023,31  18
12/16/2023,9  32
12/15/2023,28  16
12/15/2023,23  16
12/15/2023,2  7
12/15/2023,21  5
12/15/2023,21  20
12/14/2023,9  7
12/14/2023,26  8
12/14/2023,4  14
12/14/2023,29  13
12/14/2023,14  22
12/13/2023,1  18
12/13/2023,24  12
12/13/2023,1  7
12/13/2023,2  36
12/13/2023,15  31
12/12/2023,21  20
12/12/2023,4  18
12/12/2023,26  36
12/12/2023,18  32
12/12/2023,28  17
12/11/2023,7  4
12/11/2023,26  17
12/11/2023,8  35
12/11/2023,27  11
12/11/2023,5  30
12/10/2023,18  36
12/10/2023,35  19
12/10/2023,8  15
12/10/2023,24  27
12/10/2023,15  8
12/9/2023,18  12
12/9/2023,26  2
12/9/2023,6  18
12/9/2023,32  14
12/9/2023,35  2
12/8/2023,28  28
12/8/2023,7  36
12/8/2023,7  5
12/8/2023,24  30
12/8/2023,6  19
12/7/2023,32  8
12/7/2023,4  34
12/7/2023,3  9
12/7/2023,35  10
12/7/2023,9  9
12/6/2023,29  28
12/6/2023,7  13
12/6/2023,13  19
12/6/2023,27  23
12/6/2023,23  33
12/5/2023,2  10
12/5/2023,28  28
12/5/2023,33  33
12/5/2023,18  3
12/5/2023,9  6
12/4/2023,27  24
12/4/2023,24  9
12/4/2023,34  34
12/4/2023,20  8
12/4/2023,34  20
12/3/2023,1  8
12/3/2023,29  9
12/3/2023,10  1
12/3/2023,21  25
12/3/2023,9  27
12/2/2023,6  31
12/2/2023,7  9
12/2/2023,11  18
12/2/2023,1  16
12/2/2023,4  20
12/1/2023,33  18
12/1/2023,33  20
12/1/2023,14  26
12/1/2023,18  11
12/1/2023,23  3
11/30/2023,26  26
11/30/2023,18  3
11/30/2023,9  17
11/30/2023,35  2
11/30/2023,27  1
11/29/2023,16  20
11/29/2023,36  32
11/29/2023,22  17
11/29/2023,9  17
11/29/2023,26  23
11/28/2023,10  30
11/28/2023,32  9
11/28/2023,30  26
11/28/2023,34  25
11/28/2023,25  17
11/27/2023,30  10
11/27/2023,7  34
11/27/2023,3  34
11/27/2023,13  11
11/27/2023,1  28
11/26/2023,9  9
11/26/2023,15  33
11/26/2023,7  14
11/26/2023,12  29
11/26/2023,23  18
11/25/2023,19  28
11/25/2023,1  18
11/25/2023,21  22
11/25/2023,12  14
11/25/2023,22  10
11/24/2023,36  12
11/24/2023,1  27
11/24/2023,14  17
11/24/2023,25  22
11/24/2023,26  23
11/23/2023,34  22
11/23/2023,21  13
11/23/2023,12  25
11/23/2023,4  15
11/23/2023,34  25
11/22/2023,28  17
11/22/2023,7  27
11/22/2023,10  15
11/22/2023,21  15
11/22/2023,21  9
11/21/2023,3  19
11/21/2023,32  8
11/21/2023,27  23
11/21/2023,7  31
11/21/2023,23  15
11/20/2023,5  12
11/20/2023,22  30
